"","facility_id","common_name","address","zip_code","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","geom"
"38",707,"Fire Station #24","100 Hoffman Ave",94114,"Own",38,"Fire Department",7600,-122.441104981,37.753129349,"POINT (-122.44110498100002 37.753129349000005)"
"39",1309,"Public Safety Building","1245 03rd St",94158,"Own",45,"Police Department",185855,-122.389183108,37.772553913,"POINT (-122.389183108 37.772553913000024)"
"40",12,"BEACH CHALET Shed","1000 Great Hwy",94121,"Own",49,"Recreation And Parks",156,-122.510052117,37.769048966,"POINT (-122.51005211699999 37.769048966000014)"
"41",1980,"Pier 70 - Pier 68 - Pipe Rack, Bldg. #120","590 20TH ST",94107,"Own",46,"Port",1,-122.385952312,37.762030099,"POINT (-122.38595231199997 37.762030099000015)"
"42",1682,"Sunset Branch Library","1305 18th Ave",94122,"Own",48,"Public Library",9434,-122.476310754,37.763348755,"POINT (-122.476310754 37.76334875499998)"
"43",930,"Japanese Tea Garden Men's Bathroom","75 Hagiwara Tea Garden Dr",94117,"Own",49,"Recreation And Parks",258,-122.470196681,37.770076259,"POINT (-122.470196681 37.77007625900001)"
"44",143,"Asian Art Museum","200 Larkin St",94102,"Own",59,"Asian Art Museum",185000,-122.416353656,37.780191455,"POINT (-122.41635365600001 37.78019145500002)"
"45",997,"Lakeshore Elementary","220 Middlefield Dr",94132,"Own",16,"School District (Sfusd)",56101,-122.486008574,37.730050694,"POINT (-122.48600857399998 37.730050694)"
"46",982,"Lafayette Elementary","4545 Anza St",94121,"Own",16,"School District (Sfusd)",54283,-122.496876077,37.777056095,"POINT (-122.49687607700002 37.77705609499998)"
"47",1036,"LRV Station-Montgomery","595 Market St",94104,"Own",42,"Municipal Transportation Agency",24420,-122.401568306,37.789123529,"POINT (-122.401568306 37.789123528999994)"
"48",573,"Curtis E. Green LRV Facility Geneva Site","425 GENEVA AVE",94112,"Own",42,"Municipal Transportation Agency",173521,-122.446467123,37.722051241,"POINT (-122.44646712299999 37.722051240999974)"
"49",273,"240 Van Ness Ave Building","240 Van Ness Ave",94102,"Own",63,"Gsa - Real Estate Division",15950,-122.419410671,37.777998171,"POINT (-122.41941067099998 37.77799817099998)"
"50",714,"Fire Station #32","194 Park St",94110,"Own",38,"Fire Department",10900,-122.42116607,37.736322751,"POINT (-122.42116607000003 37.73632275099999)"
"51",814,"Golden Gate Stables","950 36th Ave",94121,"Own",45,"Police Department",11800,-122.494414108,37.769239978,"POINT (-122.494414108 37.76923997799997)"
"52",1932,"Pier 47 - Scomas Restaurant","PIER 47 Al Scoma Way",94133,"Own",46,"Port",11001,-122.418529639,37.808530178,"POINT (-122.41852963899998 37.80853017800001)"
"53",1798,"Union Square Parking Garages","333 Post St",94108,"Own",42,"Municipal Transportation Agency",113438,-122.407501254,37.78793116,"POINT (-122.40750125400001 37.78793116000003)"
"54",3048,"LRV Station-Civic Center","1150 Market St",94102,"Own",42,"Municipal Transportation Agency",19404,-122.414753258,37.778725294,"POINT (-122.41475325800002 37.778725294000026)"
"55",1209,"Outer Mission Substation","98 Russia Ave",94112,"Own",42,"Municipal Transportation Agency",4996,-122.436704043,37.72110272,"POINT (-122.43670404300002 37.721102719999976)"
"56",68,"5th - Mission Parking Garage","833 Mission St",94103,"Own",42,"Municipal Transportation Agency",992600,-122.405068528,37.783370185,"POINT (-122.40506852800002 37.783370185000024)"
"57",516,"Conservatory Greenhouse 3","100 John F Kennedy Dr",94117,"Own",49,"Recreation And Parks",1645,-122.460083764,37.773001858,"POINT (-122.46008376399999 37.773001857999986)"
